source_id,phot_g_mean_mag,bp_rp,mg,parallax,parallax_error,ra,dec,pmra,pmdec,pmra_error,pmdec_error,radial_velocity,radial_velocity_error,e_bp_min_rp_val,a_g_val,l,b,ecl_lat,ecl_lon,cluster
50427387118457984,14.703896,3.005867,11.294248441941857,20.800346737312672,0.08047651530683812,60.06549937966356,19.4100043509596,124.1362681447552,-33.32295231828114,0.16011209932661774,0.09455249758305491,,,0.248,0.4045,172.58384364418146,-24.754227324107234,-1.1584466314139168,61.917381311770875,Hyades
50327361624037120,14.795733,2.8458881,11.376099739583434,20.704905732848424,0.16503793299600497,60.9123768450712,19.455841307030457,123.21211479462971,-26.90388634362782,0.45662906272875886,0.21654071566860328,,,,,173.1542102853364,-24.145679580470336,-1.270017687355464,62.70968626994375,Hyades
3410787568757738752,13.8327,2.9555702,10.483157508806933,21.384128063452405,0.3900598341039388,68.9671591373127,19.795699231387793,94.67241421617857,-39.17761250338283,0.6594699911783558,0.41644725447844516,,,0.542,0.978,178.2397377514419,-18.21195841546209,-2.2129598477184698,70.24822603807307,Hyades
3410944730200538496,16.209717,3.6831493,13.157184831529527,24.51848360900197,0.11864703380670939,70.25857804175479,19.909218693918653,107.21421122332939,-44.4075954938687,0.20308069532205297,0.10427991488026288,,,0.242,0.4667,178.94246927392072,-17.192083534691783,-2.2689804161290734,71.46783196630366,Hyades
3410856112139584000,17.764841,4.1084595,14.471771294886139,21.94754979507292,0.19719420405681934,68.80694832621204,20.13348766362433,101.27864380257925,-42.77104655288146,0.40598716898628157,0.23711550223223124,,,,,177.86378257862071,-18.11619972437666,-1.8570717952447064,70.1475652225383,Hyades
3230836376154368384,17.29863,3.9120302,13.898932178872787,20.89587124664171,0.31014475481191806,70.61660112753017,0.7272493876262683,95.55838946555707,20.66455620804735,0.6224184591879239,0.3809263850920724,,,,,196.18107390312105,-27.968830571323323,-21.31869145992851,69.13071177028237,Hyades
3308433069254919424,15.03678,3.0610046,11.546986498031778,20.046623235072467,0.07977225741272584,70.55225579774617,14.14750395065663,87.5705587240092,-21.28556251156341,0.1408494713701054,0.06786577900581114,,,0.251,0.352,183.95578857173925,-20.47410286625511,-8.016346224086227,70.97175220515666,Hyades
3308470968047333120,16.178123,3.1674738,12.719843028711665,20.33967039641142,0.08719022913935696,71.8160441270832,13.557268667320836,85.94037270770784,-17.46453123648609,0.1591662000599404,0.08690800947442581,,,,,185.23528713411568,-19.832844919080436,-8.760712865520627,72.12421542605186,Hyades
3308470968047333248,16.146055,3.3928328,12.671787327101427,20.19046964696661,0.08286097971454488,71.81616288376473,13.556657264858442,88.55451264053416,-17.83980154727223,0.14989828222568874,0.08022422215037142,,,,,185.23588585686235,-19.83310937281993,-8.761333926463566,72.1242536137963,Hyades
3308428877366857728,12.337408,2.4618807,8.877130531994819,20.320972739392158,0.5119159407476932,70.36633435476338,14.076020449077182,95.71529573674728,-23.967128482247674,0.9239046589774099,0.6460685207427654,,,,,183.90218595914573,-20.661461397061807,-8.06295356912033,70.78160270482014,Hyades
