# Isochrone from from BaSTI-IAC database
# Scaled solar models & transformations  -  Johnson-Cousins
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#  Np = 2100   [M/H] = 0.150   Z = 0.0208100   Y = 0.27419542   Age (Myr) = 1020.000
#========================================================================================================================================================================================================
#    M/Mo(ini)     M/Mo(fin)    log(L/Lo)  logTe        U       BX        B        V        R        I        J        H        K       L'        L        M
#========================================================================================================================================================================================================
   0.6730349040   0.6730282450  -0.98092  3.61911   10.5323   9.3269   9.3598   8.0835   7.2853   6.5621   5.6421   4.9163   4.7973   4.7281   4.6868   4.8402
   0.6797764911   0.6797674516  -0.96090  3.62243   10.4363   9.2338   9.2668   7.9991   7.2116   6.5087   5.6012   4.8776   4.7629   4.6953   4.6591   4.8135
   0.6865180782   0.6865064694  -0.94107  3.62571   10.3381   9.1415   9.1745   7.9165   7.1397   6.4558   5.5605   4.8403   4.7296   4.6634   4.6317   4.7867
   0.6932596653   0.6932453010  -0.92142  3.62895   10.2371   9.0502   9.0832   7.8359   7.0701   6.4033   5.5201   4.8046   4.6976   4.6327   4.6048   4.7597
   0.7000012524   0.6999839331  -0.90195  3.63216   10.1337   8.9600   8.9929   7.7572   7.0027   6.3512   5.4800   4.7704   4.6666   4.6030   4.5782   4.7325
   0.7067428395   0.7067248482  -0.88305  3.63502   10.0348   8.8760   8.9088   7.6843   6.9400   6.3009   5.4403   4.7370   4.6358   4.5732   4.5507   4.7041
   0.7134844266   0.7134657456  -0.86433  3.63785    9.9347   8.7928   8.8256   7.6127   6.8786   6.2511   5.4010   4.7047   4.6058   4.5442   4.5236   4.6756
   0.7202260137   0.7202066183  -0.84576  3.64065    9.8340   8.7100   8.7426   7.5417   6.8180   6.2015   5.3619   4.6731   4.5765   4.5157   4.4968   4.6474
   0.7269676008   0.7269474877  -0.82736  3.64343    9.7333   8.6271   8.6597   7.4708   6.7575   6.1523   5.3233   4.6418   4.5475   4.4876   4.4705   4.6197
   0.7337091879   0.7336883578  -0.80913  3.64619    9.6333   8.5441   8.5766   7.3995   6.6967   6.1034   5.2850   4.6107   4.5188   4.4598   4.4447   4.5925
   0.7404507750   0.7404291965  -0.79104  3.64893    9.5341   8.4617   8.4941   7.3288   6.6363   6.0548   5.2471   4.5799   4.4904   4.4323   4.4191   4.5657
   0.7471923621   0.7471700342  -0.77312  3.65164    9.4359   8.3811   8.4134   7.2596   6.5774   6.0069   5.2097   4.5497   4.4625   4.4052   4.3938   4.5389
   0.7539339492   0.7539108363  -0.75501  3.65453    9.3338   8.3002   8.3322   7.1908   6.5192   5.9587   5.1724   4.5208   4.4357   4.3792   4.3691   4.5123
   0.7606755363   0.7606515789  -0.73682  3.65754    9.2293   8.2203   8.2520   7.1234   6.4627   5.9106   5.1353   4.4933   4.4100   4.3543   4.3448   4.4856
   0.7674171234   0.7673922679  -0.71878  3.66053    9.1253   8.1423   8.1738   7.0579   6.4079   5.8631   5.0987   4.4667   4.3849   4.3298   4.3207   4.4588
